"text","number","abbr"
"Hay","8.52","AV_HY"
"Plant, Herb","8.53","AV_PN"
"Root","8.54","AV_RO"
"Branch","8.55","AV_BN"
"Leaf","8.56","AV_LE"
"Flower","8.57","AV_FL"
"Rose","8.58","AV_RS"
"Tree (generic)","8.60","AV_TR"
"Oak","8.61","AV_OK"
"Beech","8.62","AV_BE"
"Birch","8.63","AV_BI"
"Pine","8.64","AV_PI"
"Fir","8.65","AV_FI"
"Acorn","8.66","AV_AC"
"Vine","8.67","AV_VI"
"Tobacco","8.68","AV_TO"
"Smoke (Tobacco)","8.69","AV_ST"
"to Do, Make","9.11","PA_MA"
"Work, Labor","9.12","PA_WS"
"to Work, Toil","9.13","PA_WV"
"to Bend","9.14","PA_BN"
"to Fold","9.15","PA_FO"
"to Bind","9.16","PA_BI"
"Bond (n)","9.17","PA_BO"
"Chain (n)","9.18","PA_CH"
"Rope, Cord","9.19","PA_RC"
"Knot (n)","9.192","PA_KN"
"to Hit, Strike, Beat","9.21","PA_SH"
"to Cut","9.22","PA_CU"
"Knife (tool)","9.23","PA_KF"
"Shears, Scissors","9.24","PA_SS"
"Ax","9.25","PA_AX"
"to Break","9.26","PA_BK"
"to Split","9.27","PA_SP"
"to Tear","9.28","PA_TE"
"to Flay, Skin","9.29","PA_FS"
"to Rub","9.31","PA_RU"
"to Stretch","9.32","PA_SR"
"to Draw, Pull","9.33","PA_DP"
"to Strew, Spread Out","9.34","PA_SO"
"to Press","9.342","PA_PR"
"to Pour","9.35","PA_PO"
"to Wash","9.36","PA_WA"
"to Sweep","9.37","PA_SW"
"Broom","9.38","PA_BM"
"Craft, Trade","9.41","PA_CT"
"Art","9.412","PA_AR"
"Artisan, Craftsman","9.42","PA_AC"
"Tool","9.422","PA_TO"
"to Use","9.423","PA_US"
"Carpenter","9.43","PA_CA"
"to Build","9.44","PA_BU"
"to Hew","9.45","PA_HE"
"to Bore","9.46","PA_BR"
"Auger","9.47","PA_AU"
"Saw (n)","9.48","PA_SA"
"Hammer (n)","9.49","PA_HA"
"Nail, Peg","9.50","PA_NA"
"Beam","9.51","PA_BE"
"Board","9.52","PA_BD"
"Mason","9.53","PA_MN"
"Brick","9.54","PA_BC"
"Mortar","9.55","PA_MO"
"Smith","9.60","PA_SM"
"to Forge","9.61","PA_FG"
"Anvil","9.62","PA_AN"
"to Cast (metals)","9.63","PA_CM"
"Gold","9.64","PA_GO"
"Silver","9.65","PA_SI"
"Copper, Bronze","9.66","PA_CO"
"Iron","9.67","PA_IR"
"Lead","9.68","PA_LE"
"Tin, Tin-Plate","9.69","PA_TT"
"Potter","9.71","PA_PT"
"to Mold, Form","9.72","PA_MD"
"Clay","9.73","PA_CL"
"to Plait","9.75","PA_PL"
"Basket","9.76","PA_BA"
"to Carve","9.81","PA_CV"
"Sculptor","9.82","PA_SC"
"Statue","9.83","PA_ST"
"Chisel (n)","9.84","PA_CS"
"to Paint (as artist)","9.85","PA_PA"
"to Move","10.11","MO_MO"
"to Turn","10.12","MO_TU"
"to Turn Around","10.13","MO_TA"
"to Wind, Wrap","10.14","MO_WW"
"to Roll","10.15","MO_RO"
"to Rise","10.21","MO_RI"
"to Lift, Raise","10.22","MO_RL"
"to Fall","10.23","MO_FA"
"to Drop","10.24","MO_DR"
"to Throw","10.25","MO_TH"
"to Shake","10.26","MO_SH"
"to Boil (intrans","10.31","MO_BO"
"to Flow","10.32","MO_FL"
"to Sink","10.33","MO_SI"
"to Float","10.34","MO_FT"
"to Swim","10.35","MO_SW"
"to Sail","10.36","MO_SA"
"to Fly","10.37","MO_FY"
"to Blow","10.38","MO_BL"
"to Creep, Crawl","10.41","MO_CC"
"to Slip, Slide","10.42","MO_SS"
"to Jump, Leap","10.43","MO_JL"
"to Dance","10.44","MO_DA"
"to Walk","10.45","MO_WA"
"to Run","10.46","MO_RU"
"to Go","10.47","MO_GO"
"to Come","10.48","MO_CO"
"to Depart, Go Away","10.49","MO_GA"
"to Flee","10.51","MO_FE"
"to Follow","10.52","MO_FO"
"to Pursue","10.53","MO_PU"
"to Overtake","10.54","MO_OV"
"to Reach, Arrive","10.55","MO_AR"
"to Approach","10.56","MO_AP"
"to Enter","10.57","MO_EN"
"to Bear, Carry","10.61","MO_CA"
"to Bring","10.62","MO_BG"
"to Send","10.63","MO_SE"
"to Lead","10.64","MO_LE"
"to Drive","10.65","MO_DV"
"to Ride","10.66","MO_RD"
"to Push, Shove","10.67","MO_PS"
"Road","10.71","MO_RA"
"Path","10.72","MO_PA"
"Street","10.73","MO_ST"
"Bridge","10.74","MO_BR"
"Cart, Wagon, Carriage","10.75","MO_CW"
"Wheel","10.76","MO_WH"
"Axle","10.77","MO_AX"
"Yoke","10.78","MO_YO"
"Ship","10.81","MO_SP"
"Sailor","10.82","MO_SR"
"Boat","10.83","MO_BT"
"Raft","10.84","MO_RF"
"Oar","10.85","MO_OA"
"to Row","10.852","MO_RW"
"Rudder","10.86","MO_RR"
"Mast","10.87","MO_MS"
"Sail (n)","10.88","MO_SL"
