Starling ID,Headwords,Gloss,chosen_abbr,v1_choice,differs_from_v1,enrichment_used,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR693,*kejḷ-,1 to say; to be understood 2 to hear,SP_HE,SP_HE,,yes,SP_HE,Sense Perception — to Hear,0.346,LM_SY,Language & Music — to Say,0.335,QN_ON,Quantity & Number — One,0.323
PDR694,*kel-,feather,BP_FE,BP_FE,,yes,BP_FE,Body Parts & Functions — Feather,0.497,CA_CB,Clothing & Adornment — Comb,0.403,AN_GS,Animals — Goose,0.371
PDR695,*kèl-,side,SR_SD,EM_GD,YES,yes,SR_SD,Spatial Relations — Side,0.370,SR_LF,Spatial Relations — Left (vs,0.316,EM_RI,Emotion — Right (adj),0.314
PDR696,*ken-,cheek; temple,BP_CK,BP_CK,,yes,BP_CK,Body Parts & Functions — Cheek,0.627,BP_CN,Body Parts & Functions — Chin,0.405,BP_FA,Body Parts & Functions — Face,0.403
PDR697,*keṇ-,"to arouse, irritate; to have sexual intercourse",EM_PL,BP_SI,YES,yes,EM_PL,Emotion — to Please,0.529,EM_DE,Emotion — to Desire,0.509,EM_RF,"Emotion — Rage, Fury",0.503
PDR698,*ker-,to warm by the fire,FD_RF,TI_WI,YES,yes,FD_RF,"Food & Drink — to Roast, Fry",0.391,DF_FP,"Dwellings & Furniture — Hearth, Fireplace",0.380,FD_OV,Food & Drink — Oven,0.361
PDR699,*ker-,to scratch,PA_RU,PA_NA,YES,yes,PA_RU,Physical Acts & Materials — to Rub,0.419,PA_CV,Physical Acts & Materials — to Carve,0.386,BP_LC,Body Parts & Functions — to Lick,0.340
PDR700,*Kerŋ-,feather,BP_FE,BP_FE,,yes,BP_FE,Body Parts & Functions — Feather,0.513,AN_BI,Animals — Bird,0.428,CA_CB,Clothing & Adornment — Comb,0.421
PDR701,*ker_-,"to kill, destroy",PT_DE,BP_KI,YES,,PT_DE,Possession & Trade — to Destroy,0.570,WH_FI,Warfare & Hunting — to Fight,0.562,WH_EN,Warfare & Hunting — Enemy (in War),0.525
PDR702,*kesar_- (*-i-),"mud, mire",PW_MU,PW_MU,,yes,PW_MU,"Physical World — Mud, Mire",0.669,PW_SA,"Physical World — Sand, Grit",0.358,PW_GS,"Physical World — Ground, Soil",0.321
PDR703,*kev-,ear,BP_EA,BP_EA,,yes,BP_EA,Body Parts & Functions — Ear,0.598,SP_HE,Sense Perception — to Hear,0.455,SP_HG,Sense Perception — Hearing (n),0.439
PDR704,*kē-,to lie,SR_LI,EM_LI,YES,yes,SR_LI,"Spatial Relations — to Lie, Recline",0.355,EM_LI,"Emotion — Lie, Falsehood",0.340,EM_DC,Emotion — Deceit,0.337
PDR705,*kēɣ-,"magpie, snipe",AN_BI,AN_BI,,yes,AN_BI,Animals — Bird,0.409,AN_FM,Animals — Fisherman,0.362,AN_FL,Animals — Fly (n),0.360
PDR706,*kēkVl (?),earth,PW_GS,PW_EL,YES,yes,PW_GS,"Physical World — Ground, Soil",0.553,PW_EL,"Physical World — Earth, Land",0.529,PW_SK,"Physical World — Sky, Heavens",0.400
PDR707,*kēḷ-,"to be friends with, ramify, multiply (as families)",MK_FM,SO_FR,YES,,MK_FM,Mankind — Family,0.579,SO_CN,Social Relations — Common (adj),0.510,SO_NE,Social Relations — Neighbor,0.478
PDR708,*kēnd- (?),feather,BP_FE,BP_FE,,yes,BP_FE,Body Parts & Functions — Feather,0.531,AN_BI,Animals — Bird,0.430,AN_GS,Animals — Goose,0.420
PDR709,*kēnd- (?),"to possess, buy",PT_OP,PT_OP,,yes,PT_OP,"Possession & Trade — to Own, Possess",0.754,PT_BU,Possession & Trade — to Buy,0.732,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",0.728
PDR710,*kēr-,side,SR_SD,EM_GD,YES,yes,SR_SD,Spatial Relations — Side,0.395,SR_LF,Spatial Relations — Left (vs,0.315,DF_WL,Dwellings & Furniture — Wall,0.302
PDR711,*kēr-,to shout; to crow,LM_SC,LM_SC,,yes,LM_SC,"Language & Music — to Shout, Cry Out",0.503,EM_GR,Emotion — to Groan,0.444,EM_PL,Emotion — to Please,0.415
PDR712,*kēr-,to sing; to tell,LM_SG,LM_SG,,yes,LM_SG,Language & Music — to Sing,0.558,LM_BO,Language & Music — to Boast,0.401,LM_CS,"Language & Music — to Call, Summon",0.400
PDR713,*kēr-,to lean against,SR_SI,BP_SD,YES,yes,SR_SI,Spatial Relations — to Sit,0.324,SR_LI,"Spatial Relations — to Lie, Recline",0.322,MO_PS,"Motion & Transportation — to Push, Shove",0.314
PDR714,*kēs-,to shave,BP_BE,BP_BE,,,BP_BE,Body Parts & Functions — Beard,0.484,CA_RA,Clothing & Adornment — Razor,0.464,BP_HA,Body Parts & Functions — Hair,0.462
PDR715,*kēs- (?),neck,BP_NK,BP_NK,,yes,BP_NK,Body Parts & Functions — Neck,0.668,BP_FO,Body Parts & Functions — Forehead,0.486,BP_CN,Body Parts & Functions — Chin,0.472
PDR716,*kēs-[mb-],a kind of yam,FD_FR,BP_YG,YES,yes,FD_FR,Food & Drink — Fruit,0.293,FD_PR,Food & Drink — Pear,0.281,FD_DI,Food & Drink — Dish,0.280
PDR717,*kic-,to pinch,PA_SR,BP_NA,YES,yes,PA_SR,Physical Acts & Materials — to Stretch,0.357,PA_KF,Physical Acts & Materials — Knife (tool),0.339,PA_CU,Physical Acts & Materials — to Cut,0.338
PDR718,*kiḍ-,spark,EM_PA,PW_FL,YES,yes,EM_PA,Emotion — Passion,0.350,EM_RF,"Emotion — Rage, Fury",0.318,EM_AG,Emotion — Anger,0.309
PDR719,*kil-,to cry; to sound,EM_CW,EM_CW,,yes,EM_CW,"Emotion — to Cry, Weep",0.615,EM_GR,Emotion — to Groan,0.541,EM_PL,Emotion — to Please,0.484
PDR720,*kil-,small,QN_LF,QN_LF,,yes,QN_LF,"Quantity & Number — Few, Little",0.391,SR_SM,"Spatial Relations — Small, Little",0.282,QN_CW,Quantity & Number — Other Collective Words,0.244
PDR721,*kiḷ-,parrot,AN_BI,AN_BI,,yes,AN_BI,Animals — Bird,0.499,AN_DU,Animals — Duck,0.459,AN_CK,"Animals — Cock, Rooster",0.438
PDR722,*kiḷ-,"rust, verdigris",CA_JW,WH_SW,YES,yes,CA_JW,"Clothing & Adornment — Gem, Jewel",0.298,CA_LE,Clothing & Adornment — Leather,0.296,CA_SI,Clothing & Adornment — Silk,0.295
