Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR1383,*paḷ-,"to shine, glitter",CA_DY,CA_DY,Clothing & Adornment — to Dye,0.435,CA_CK,Clothing & Adornment — Cloak,0.400,EM_GL,"Emotion — Fame, Glory",0.385
PDR1384,*paḷ-,"to cower, crouch",AN_CO,AN_CO,Animals — Cow,0.398,AN_PV,Animals — to Pasture,0.375,WH_RT,Warfare & Hunting — Retreat (n),0.370
PDR1385,*Pal-,lizard,AN_SK,AN_SK,Animals — Snake,0.524,AN_MK,Animals — Monkey,0.422,AN_BR,Animals — Bear,0.418
PDR1386,*paḷ- (?),peel,FD_KN,FD_KN,Food & Drink — Knife,0.379,PA_RU,Physical Acts & Materials — to Rub,0.379,PA_FS,"Physical Acts & Materials — to Flay, Skin",0.352
PDR1387,*palṇ- (?),jack-fruit,FD_FR,FD_FR,Food & Drink — Fruit,0.575,FD_PC,Food & Drink — Peach,0.473,FD_PR,Food & Drink — Pear,0.470
PDR1388,*paṇ-,"1 to command, speak 2 to send",SO_CR,SO_CR,"Social Relations — to Order, Command",0.386,MO_SE,Motion & Transportation — to Send,0.369,LM_CS,"Language & Music — to Call, Summon",0.349
PDR1389,*paṇ-,to do; to work,PA_WV,PA_WV,"Physical Acts & Materials — to Work, Toil",0.442,TI_FI,Time — to Finish,0.439,PA_WS,"Physical Acts & Materials — Work, Labor",0.438
PDR1390,*paṇ-,field; level ground,PW_GS,PW_GS,"Physical World — Ground, Soil",0.558,PW_PF,"Physical World — Plain, Field",0.490,PW_EL,"Physical World — Earth, Land",0.335
PDR1391,*pand-,shed,AN_BA,AN_BA,Animals — Barrow,0.353,DF_YR,"Dwellings & Furniture — Yard, Court",0.352,AN_PS,Animals — Pasture,0.323
PDR1392,*panḍ-,"skin, bark",CA_CR,CA_CR,Clothing & Adornment — Collar,0.488,CA_FU,Clothing & Adornment — Fur,0.453,AN_BU,Animals — Bull,0.447
PDR1393,*panḍ-,to be tired,BP_SL,BP_SL,Body Parts & Functions — to Sleep; Sleep,0.476,EM_DE,Emotion — to Desire,0.349,BP_WA,Body Parts & Functions — to Wake,0.340
PDR1394,*pand_-,pig,AN_PI,AN_PI,Animals — Pig,0.851,AN_BO,Animals — Boar,0.618,AN_SW,Animals — Swine,0.523
PDR1395,*pans-,to divide,QN_HA,QN_HA,Quantity & Number — Half,0.442,SR_DI,Spatial Relations — to Divide,0.440,QN_PR,Quantity & Number — Part (n),0.380
