Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
pālg̣re,to dawn,,Dravidian etymology,,Also KURpairīmorning; MLTpohpohredawn.,,,,,,,,,,3805,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=649&root=config
"palu ""the teeth""",tooth,,Dravidian etymology,,,,,,,,,,,,3986,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=614&root=config
palware,"to be multiplied, be bred",,Dravidian etymology,,"Also Maltopalwatreto breed, rear",,,,,,,,,,3987,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=615&root=config
"parg̣e ""to split, cleave, rend""","to separate, split",,Dravidian etymology,,"Also KUR (Hahn)parxnāto split, cleave, rend;parAmnāto bite, separate the two natural halves (of pulse seed) with the handmill (Pfeiffer); MLTparg̣reto be split, rent;parg̣rocracked, rent, a crack, fissure.",,,,,,,,,,3962,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=627&root=config
"parce, parctre",to run away,,Dravidian etymology,,,,,,,,,,,,3963,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=625&root=config
patg̣re,to take refuge or shelter,,Dravidian etymology,,,,,,,,,,,,3912,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=639&root=config
paṭa,numeral classifier of flat objects,,Dravidian etymology,,,,,,,,,,,,3878,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=642&root=config
"pace ""old (of things); vb. to become old""",old,,Dravidian etymology,,"Also KURpacbāold, stricken in years; the dead;pacgīold, advanced in years, ancient of olden times;paccnāto grow old; MLTpacgeaged;pacoold (with reference to animals)",,,,,,,,,,3999,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=611&root=config
pāne,"to ripen, (boil) festers, have a yellowish appearance (as after a prolonged illness)",,Dravidian etymology,,"Also KURpańjkāfruits; MLTpāntreto ripen (tr.), teach manners;panjek,panjekeripe",,,,,,,,,,4004,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=650&root=config
"pāṛe ""to sing, bewail""",to sing,,Dravidian etymology,,,,,,,,,,,,4065,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=651&root=config
"pāthe ""root of a tree""",root,,Dravidian etymology,,,,,,,,,,,,4077,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=647&root=config
"palke ""to cut up (as fruit or vegetable)""",to cut up,,,,,,,,,,,,,,3991,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=616&root=config
pathre,"to grow in number, increase in quantity, grow in size or age, prosper, succeed, thrive",,Dravidian etymology,,,,,,,,,,,,3972,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=626&root=config
"pāwu ""way, path, road""","road, way",,Dravidian etymology,,Also KURpāb ērnāto wait for (ērnāto see).,,,,,,,,,,4108,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=646&root=config
"pet-kame ""to pick up food""","to gather, pick up",,Dravidian etymology,,"Also KURpesEgnāto weed, cleanse by removing that which is objectionable.",,,,,,,,,,4423,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=658&root=config
panye,n. cold,,Dravidian etymology,,Also MLTpany-panyreto feel cold;pey-peyreto feel chilly.,,,,,,,,,,4035,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=622&root=config
pinje,to name,,Dravidian etymology,,,,,,,,,,,,4410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=667&root=config
peypeyre,to feel fervent or animated,,Dravidian etymology,,,,,,,,,,,,4438,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=922&root=config
pēnu,louse,,Dravidian etymology,,Also KURallā-pē̃nflea (allādog).,,,,,,,,,,4449,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=660&root=config
pīse,to pour off the water from boiled rice,,Dravidian etymology,,,,,,,,,,,,4433,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=673&root=config
"peṛqe ""to talk, speak, simmer, hiss""",to talk; to command,,Dravidian etymology,,"Also KURpēskācommand, order, precept;perperErnāto prate, prattle, talk with a high-pitched voice; (vessel in which something is cooking) to hum, buzz, sing; (Hahn)perxperxnāto babble, prattle;parparernāto prate, prattle.",,,,,,,,,,4430,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=661&root=config
"pethg̣e ""to break open (as a large fruit)""",to pinch; to break up,,Dravidian etymology,,Also MLTpethg̣reto burst or break (as a fruit).,,,,,,,,,,4165,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=654&root=config
"pisi ""below""",after; below,,Dravidian etymology,,"Also KURpisnānext year;pistāsubsequent, later, subordinate; MLTpistithe lower.",,,,,,,,,,4205,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=670&root=config
