Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
sonḍe,lip,,Gondwan etymology,,,,,,,,,,,3494,2664,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1149&root=config
ūṛ-,to see,,Gondwan etymology,,"Also Gondi_Chd caus.huṛsutānāto show; Gondi_Whūṛsahtānāto reveal; Gondi_Ph, Gondi_Wsūrālblind",,,,,,,The formhupsānāis probably borrowed from Telugu.,,"3462, 3571",2735,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1176&root=config
danḍa,upper arm,,Gondwan etymology,,,,,,,,,,,1834,3048,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=153&root=config
ḍol-,to die,,Gondwan etymology,,,,,,,,,,,1616,2988,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=177&root=config
"ḍoŋga, ḍoŋgal (pl. ḍoŋgalor)",thief,,Gondwan etymology,,Also Gondi_Mdoŋgānāto steal; Gondi_Koḍoŋg-to steal,,,,,,,,,1603,2982,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=187&root=config
dorba,lung,,Gondwan etymology,,,,,,,,,,,1900,3515,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=181&root=config
dork-,to be found,,Gondwan etymology,,,,,,,,,,,1896,3535,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=185&root=config
ḍōk,"shell (of tortoise, egg)",,Gondwan etymology,,,,,,,,,,,1620,2989,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=189&root=config
dumul,dust,,Gondwan etymology,,Also Gondi_A (Su.)dubbādirt,,,,,,,"The change*-m->-b-in some dialects is probably due to assimilation. However, initial retroflex inḍubais probably misspelled.",,"1571, 1876",3332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=196&root=config
tuppa,nest,,Gondwan etymology,,,,,,,,,,,1745,3322,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1283&root=config
ev-,"to reach, arrive",,Gondwan etymology,,"Also Gondi_Wāwsahtānāto dispatch; Gondi_Muavh-/avih-to make to reach, bring, obtain",,,,,,,,,369,809,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=224&root=config
