Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
ḍerka,a belch,,Gondwan etymology,,,,,,,,,,,1586,3451,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=162&root=config
"col, jol",saliva,,Gondwan etymology,,Also Gondi_FHjolsaliva,,,,,,,,,1452,2862,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=371&root=config
"ḍoḍḍo, (Su.) ḍhoḍḍō ""pit""","hole, pit",,Gondwan etymology,,,,,,,,,,,1611,3528,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=170&root=config
"ḍokke ""sp. lizard""",lizard,,Gondwan etymology,,Also Gondi_Trpidrī-ḍokkēthe house-lizard;ḍoggālchameleon,,,,,,,,,"1597, 1600, 2227",2977,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=176&root=config
dobbā (Su.),lung,,Gondwan etymology,,,,,,,,,,,1900,3515,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=181&root=config
"ḍuba ""(SR) dust, earth""",dust,,Gondwan etymology,,Also Gondi_A (Su.)dubbādirt,,,,,,,"The change*-m->-b-in some dialects is probably due to assimilation. However, initial retroflex inḍubais probably misspelled.",,"1571, 1876",3332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=196&root=config
"ertānā ""(SR) to thrash""",to thrash,,Gondwan etymology,,,,,,,,,,,350,859,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=230&root=config
"rey-, ray-, (SR) reyānā",to descend,,Gondwan etymology,,"Also Gondi_Tr caus.rehtānā,ragstānāto cause to descend",,,,,,,,,3049,516,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1059&root=config
ev-,"to reach, arrive",,Gondwan etymology,,"Also Gondi_Wāwsahtānāto dispatch; Gondi_Muavh-/avih-to make to reach, bring, obtain",,,,,,,,,369,809,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=224&root=config
helva,"wave, flood",,Gondwan etymology,,,,,,,,,,,3587,830,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=210&root=config
eddi,heat of the sun,,Gondwan etymology,,"Also Gondi_A (SR)yaddihot, sunlight",,,,,,,,,342,869,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=199&root=config
hermi,buffalo,,Gondwan etymology,,,,,,,,,,,352,816,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=219&root=config
ḍego (SR),eagle,,Gondwan etymology,,,,,,,,,,,,1527,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=158&root=config
"ghoṭang ""(pl.) pipe""",pipe; piece of bamboo,,Gondwan etymology,,Also Gondi_A (Su.)goṭṭaquiver,,,,,,,,,"1257, 1188, 1258",2059,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=277&root=config
"guḍi ""(SR) temple""",temple; tomb,,Gondwan etymology,,,,,,,,,,,1113,1655,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=290&root=config
gudd- (Su.),to quarrel,,Gondwan etymology,,,,,,,,,,,,1850,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=289&root=config
"guṭṭa ""hill, mountain""",hill,,Gondwan etymology,,,,,,,,,,,"1111, 1116",1682,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=320&root=config
gunti,bow,,Gondwan etymology,,,,,,,,,,,1132,1727,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=311&root=config
kunṭa,pool,,Gondwan etymology,,,,,,,,,,,737,1669,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=570&root=config
gūḍa,nest,,Gondwan etymology,,,,,,,,,,,"1171, 1197",1883,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=322&root=config
"vēr (obl. vēn-), pl. vīr ""he, this man, these men""","he, this man",,Gondwan etymology,,,,,,,,,"The original quality of the vowel has been preserved in Gondi_S (īn<*iv-n) and Gondi_Ch, which alone of all dialects has preserved some traces of-v-in its former position:iyel<*iv-l<*iv-nR. In most other dialects vowel quality has been modified, and some preserved the original-v-by means of a metathese.",,"390, 181, 212, 3314",410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=348&root=config
"ir- ""to keep""","to put, place; to keep",,Gondwan etymology,,,,,,,,,,,182,442,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=325&root=config
il (SR),house,,Gondwan etymology,,,,,,,,,,,196,494,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=334&root=config
hiruk,mahua,,Gondwan etymology,,Also Gondi_A (Su.)hirpmahua;hirūkmahua flowers,,,,,,,Forms with-kare actually plural forms.,,183,485,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=346&root=config
