Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"paʔ- ""to split (tr.)""",to split,,Gondwan etymology,,"Also Gondi_Mupayih-/pah-,Gondi_Wpaiyatānā,paihatānā, Gondi_Phpaiyahtānā,paisahtānā, Gondi_Kopah-to split (tr.); Gondi_Trpakkī, Gondi_W, Gondi_Phpahkī, Gondi_Mupaki, Gondi_Kopaksplit bamboo",,,,,,,,,"2071, 2069, 2121",3808,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=897&root=config
"panḍ- ""to make, construct""","to make, build",,Gondwan etymology,,,,,,,,,,,"2092, 2093",3884,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=904&root=config
"paddal ""swineherd""","hog, pig",,Gondwan etymology,,,,,,,,,,,2111,4039,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=896&root=config
panj-,"to be satisfied, replete, filled",,Gondwan etymology,,Also Gondi_Mu caus.panjih-,,,,,,,,,2080,3837,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=908&root=config
park-,to search,,Gondwan etymology,,,,,,,,,,,2142,3956,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=913&root=config
"panḍe ""frog""",frog; muscle,,Gondwan etymology,,"Also Gondi_Chpanne, Gondi_Apennemuscle; Gondi_A (Su.)pennēfrog",,,,,,,,,"2118, 2119",3955,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=914&root=config
paṛna,old,,Gondwan etymology,,,,,,,,,,,2148,3999,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=910&root=config
pār̨-,to sing,,Gondwan etymology,,Also many dial.pāṭā̆song,,,,,,,,,"2194, 2179",4065,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=924&root=config
pāy-,"to beat, strike",,Gondwan etymology,,,,,,,,,,,2371,4044,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=933&root=config
"pārŋ- ""to open (intr.), (mouth) to be opened""",to open (flowers),,Gondwan etymology,,"Also Gondi_Mapārʔ-to loosen (shoes), open (mouth)",,,,,,,,,"2131, 2146",3949,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=931&root=config
pilivi (Hislop),lip,,Gondwan etymology,,,,,,,,,,,2251,4400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=963&root=config
"par̨- ""to pile up grain in a stack""","to pick up, gather",,Gondwan etymology,,"Also Gondi_A (SR)perrānāto gather; Gondi_Trpehkānāto pick up; Gondi_Wpahkānāto glean, Gondi_Phpahkānāto choose; Gondi_Mpehkānāto lift, pick; Gondi_S, Gondi_Kopehk-, Gondi_Mapeʔk-to pick up",,,,,,,,,"2339, 2349, 2355, 2356",4423,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=936&root=config
pediri,name,,Gondwan etymology,,,,,,,,,,,2408,4410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=991&root=config
pesel,green gram,,Gondwan etymology,,,,,,,,,,,2354,3941,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=945&root=config
"peṛeŋka, penʔka ""bone""",bone; seed,,Gondwan etymology,,,,,,,,,,,2352,4418,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=941&root=config
"pēnu ""god""","god, idol",,Gondwan etymology,,,,,,,,,,,2364,4438,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=953&root=config
pēnḍa,cowdung,,Gondwan etymology,,,,,,,,,,,2361,4441,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=954&root=config
"per̨, par̨",rain,,Gondwan etymology,,,,,,,,,,,2239,4199,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=958&root=config
porki,louse,,Gondwan etymology,,,,,,,,,,,2419,4203,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1002&root=config
"pīla ""child""",girl; child,,Gondwan etymology,,,,,,,,,,,2253,4198,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=980&root=config
"pinḍi ""flour""","flour, powder",,Gondwan etymology,,,,,,,,,,,2220,4162,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=964&root=config
biṛsk-,"to slip, slide",,Gondwan etymology,,,,,,,,,,,2551,4187,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=93&root=config
pīŋgu,excrement,,Gondwan etymology,,,,,,,,,,,2262,4210,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=982&root=config
"pīr̨- ""to squeeze, wring, milk""","to squeeze, milk",,Gondwan etymology,,,,,,,,,,,2273,4231,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=977&root=config
pīri,straw,,Gondwan etymology,,"Also Gondi_Trpūrāl-kāṭāa kind of thin, poor grass",,,,,,,,,"2275, 2325",4225,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=985&root=config
"por̨o ""top, upper part""","on top, above",,Gondwan etymology,,Also Gondi_Koporrotaupper,,,,,,,,,2407,4567,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=987&root=config
"poyo ""smoke""",smoke; tobacco,,Gondwan etymology,,Also Gondi_Mpoīsmoke; Gondi_Mupoy-to smoke (intr.); Gondi_A (Su.)poyyūs-to season (curry),,,,,,,,,"2372, 2398",4240,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1011&root=config
