Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"mūgu, mū",nose,"mūga,mūgiman with a nose",Dravidian etymology,,,,,,,,,"Tulumūriprobably borrowed from Tamil, but Tulumōganot quite clear.",,,5024,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4209&root=config
muri,buffalo; ox,,Dravidian etymology,,,,,,,,,Irregular vowel shortening in Kannada.,,,5041,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4224&root=config
mur_ikil,dirt; to spoil,"mugguto get or have the smell of corruption, become or be musty or mouldy by dampness; n. an offensive smell, mustiness, fustiness, mouldiness;muggalumustiness, mouldiness; (Hav.)mūribad smell",Dravidian etymology,,,,,,,,,,,,5007,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4193&root=config
"muttu, mudi",old,"mudaka,mudukuold man; fem.mudaki,mudiki,muduki; (K2)mutta,mudupaold man;mudu(mutt-),modeto advance in growth, increase, become full-grown, mature, advance in years, become old; n. old age, etc.;mudukatana,muppuold age;mū-dēvielder sister of Lakṣmī, goddess of misfortune",Dravidian etymology,,,,,,,,,"A complicated case. Tamil points at the following variants: 1) *mud-; 2) *mū-; 3) *mūt- (a few forms also hint at **mūd-, but these are in a minority and may be deemed secondary). The first and third variants are obviously related, but if so, only *mūt- can be regarded as original, with *mud- developed out of it due to prosodic reasons. As for *mū- (which should be reconstructed as a variant for the PSDR stage), it is yet unclear how it could have developed out of *mūt- (the standard verbal derivative would be*mutu (-pp-, -tt-)for Tamil).",,,4954,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4143&root=config
mūḍe,"bundle, sack; to stitch, sew together","mūḍāvepillow;mūṭebundle of grain, cloth, etc., pack, bale; (?)moṭṭe,maṭṭeleather bag; bundle, bale, burden, load",Dravidian etymology,,,,,,,,,"Kannada and Tulumoṭṭehardly belong here. The root was originally a nominal one (*mūḍ-), with a derivational transitive verb (*mūṭ-), from which, in turn, are derived forms like Tamilmūṭṭai, etc.",,,5037,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=4221&root=config
"naḍugu, naḍagu",to shake,"naḍugu,naḍuguvike,naḍaka,naḍukatrembling, shivering, tremor, etc.;naḍatremblingly;naḍugisuto cause to tremble, etc.; (Hal.)neḍuguto tremble",Dravidian etymology,,,,,,,,,,,,3585,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3004&root=config
naḍe (naḍad-),to walk,"naḍi=naḍevb.;naḍagewalking, pace, walk;naḍatewalk, course, conduct, deportment, behaviour;naḍaputo cause to walk, manage; n. walking;naḍayisu,naḍasuto cause to walk, manage;naḍapaḍikeconduct, custom, proceedings;naḍavethe floor in a house opposite the entrance-door",Dravidian etymology,,,,,,,,,,,,3582,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3001&root=config
"naḍu, naḍuvu, naḍa, naḍavu, naḍi",middle,"naṭṭa,naṭṭebelonging to the middle, central;naḍuve,naḍave,naḍivethe very middle, the middle, between, an intervening space, difference;naṭṭa-naḍuthe very middle;naḍḍiback of the waist, hollow above the loins",Dravidian etymology,,,,,,,,,,,,3584,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3003&root=config
"nagu (nakk-), nage",to laugh,"nagegār_aa man who causes to laugh, a ridiculer, joker",Dravidian etymology,,,,,,,,,Unclear-k-in Tulu.,,,3569,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2989&root=config
naya,"to desire, love; friendship",,Dravidian etymology,,,,,,,,,Possibly two different roots (Tamilnaja-doesn't regularly contract intonē-).,,,3602,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3020&root=config
"nalagu, nalugu","to crumple; to be crumpled, stiffed, faint","nalagisu,nalugisuto rumple, etc.;nalavu,naluvuweakness",Dravidian etymology,,,,,,,,,,,,3611,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3029&root=config
nali,to dance,(PBh.)naliyutt(e)dancing with delight,Dravidian etymology,,,,,,,,,Todanās_-can point towards an original long vowel.,,,3612,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3030&root=config
"nambu, (K2) nemmu",to trust; to long for,"nambike,nambige,nembugeconfidence",Dravidian etymology,,,,,,,,,,,,3600,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3018&root=config
"naval, navil(u), navila, navulu, nemali",peacock,,Dravidian etymology,,,,,,,,,,,,2902,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2439&root=config
nane,flower-bud; to bud,,Dravidian etymology,,,,,,,,,,,,3631,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3050&root=config
"naṇṭu, neṇṭu","to approach; to unite; friend, friendship","naṇṭa,neṇṭarelative, kinsman, friend;naṇṭatana,neṇṭatana,naṇṭartana,naṇṭastike,naṇṭikerelationship;naṇpu,neṇpufriendship, affection, love, favour, confidential relationship, familiarity, intimacy, relationship, delightfulness, charm, pleasantness, agreeability",Dravidian etymology,,,,,,,,,"Tamilnaḷ-is unclear; quite possibly contaminated with*naḷ-'wide, thick, overcrowded'.",,,3588,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3006&root=config
nañju,poison,,Dravidian etymology,,,,,,,,,,,,3580,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=2999&root=config
